reportyear,county_name,strata_level_name_code,strata_level_name,numerator,denominator,rate
2000,Alameda,1,Aggravated assault,5457,1443741,3.78
2000,Alameda,2,Forcible rape,568,1443741,0.39
2000,Alameda,3,Murder and non-negligent manslaughter,110,1443741,0.08
2000,Alameda,4,Robbery,3368,1443741,2.33
2000,Alameda,5,Violent crime total,9503,1443741,1.65
2000,Alpine,1,Aggravated assault,9,1208,7.45
2000,Alpine,2,Forcible rape,1,1208,0.83
2000,Alpine,5,Violent crime total,10,1208,2.07
2000,Amador,1,Aggravated assault,153,34120,4.48
2000,Amador,2,Forcible rape,22,34120,0.64
2000,Amador,3,Murder and non-negligent manslaughter,1,34120,0.03
2000,Amador,4,Robbery,3,34120,0.09
2000,Amador,5,Violent crime total,179,34120,1.31
2000,Butte,1,Aggravated assault,475,203171,2.34
2000,Butte,2,Forcible rape,77,203171,0.38
2000,Butte,3,Murder and non-negligent manslaughter,8,203171,0.04
2000,Butte,4,Robbery,139,203171,0.68
2000,Butte,5,Violent crime total,699,203171,0.86
2000,Calaveras,1,Aggravated assault,101,40554,2.49
2000,Calaveras,2,Forcible rape,8,40554,0.2
2000,Calaveras,3,Murder and non-negligent manslaughter,4,40554,0.1
2000,Calaveras,4,Robbery,5,40554,0.12
2000,Calaveras,5,Violent crime total,118,40554,0.73
2000,Colusa,1,Aggravated assault,50,18804,2.66
2000,Colusa,2,Forcible rape,2,18804,0.11
2000,Colusa,3,Murder and non-negligent manslaughter,4,18804,0.21
2000,Colusa,4,Robbery,1,18804,0.05
2000,Colusa,5,Violent crime total,57,18804,0.76
2000,Contra Costa,1,Aggravated assault,2933,948816,3.09
2000,Contra Costa,2,Forcible rape,231,948816,0.24
2000,Contra Costa,3,Murder and non-negligent manslaughter,56,948816,0.06
2000,Contra Costa,4,Robbery,1312,948816,1.38
2000,Contra Costa,5,Violent crime total,4532,948816,1.2
2000,Del Norte,1,Aggravated assault,100,27507,3.64
2000,Del Norte,2,Forcible rape,4,27507,0.15
2000,Del Norte,3,Murder and non-negligent manslaughter,1,27507,0.04
2000,Del Norte,4,Robbery,13,27507,0.47
2000,Del Norte,5,Violent crime total,118,27507,1.07
2000,El Dorado,1,Aggravated assault,633,156299,4.05
2000,El Dorado,2,Forcible rape,37,156299,0.24
2000,El Dorado,3,Murder and non-negligent manslaughter,3,156299,0.02
2000,El Dorado,4,Robbery,29,156299,0.19
2000,El Dorado,5,Violent crime total,702,156299,1.12
2000,Fresno,1,Aggravated assault,4131,799407,5.17
2000,Fresno,2,Forcible rape,273,799407,0.34
2000,Fresno,3,Murder and non-negligent manslaughter,38,799407,0.05
2000,Fresno,4,Robbery,1599,799407,2.0
2000,Fresno,5,Violent crime total,6041,799407,1.89
2000,Glenn,1,Aggravated assault,64,26453,2.42
2000,Glenn,2,Forcible rape,4,26453,0.15
2000,Glenn,3,Murder and non-negligent manslaughter,1,26453,0.04
2000,Glenn,4,Robbery,11,26453,0.42
2000,Glenn,5,Violent crime total,80,26453,0.76
2000,Humboldt,1,Aggravated assault,273,126207,2.16
2000,Humboldt,2,Forcible rape,65,126207,0.52
2000,Humboldt,3,Murder and non-negligent manslaughter,4,126207,0.03
2000,Humboldt,4,Robbery,85,126207,0.67
2000,Humboldt,5,Violent crime total,427,126207,0.84
2000,Imperial,1,Aggravated assault,557,142361,3.91
